Date : 2025-03-29 23:51:59
Directory : c:\Users\HP\Documents\Ecommer\EcommerceTienda
Total : 79 files,  15740 codes, 293 comments, 761 blanks, all 16794 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\patterns\pattern-2.svg                                     | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\payment\amex.svg                                           | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\payment\mastercard.svg                                     | XML                |          7 |          0 |          1 |          8 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\payment\paypal.svg                                         | XML                |          9 |          0 |          1 |         10 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\payment\visa.svg                                           | XML                |          6 |          0 |          1 |          7 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\js\flickity.pkgd.min.js                                        | JavaScript         |          8 |         48 |          0 |         56 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\js\theme.bundle.js                                             | JavaScript         |          1 |          1 |          0 |          2 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\js\vendor.bundle.js                                            | JavaScript         |          1 |          1 |          0 |          2 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\index.html                                                            | HTML               |         32 |          4 |         11 |         47 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\main.server.ts                                                        | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\main.ts                                                               | TypeScript         |          4 |          0 |          4 |          8 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\styles.css                                                            | CSS                |          1 |          1 |          0 |          2 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\tsconfig.app.json                                                         | JSON               |         17 |          1 |          1 |         19 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\tsconfig.json                                                             | JSON with Comments |         31 |          1 |          1 |         33 |
| c:\Users\HP\Documents\Ecommer\EcommerceTienda\tsconfig.spec.json                                                        | JSON               |         13 |          1 |          1 |         15 |
| Total                                                                                                                   |                    |     15,740 |        293 |        761 |     16,794 |
+-------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
